config_name,image_size,cnn_batch_size,cnn_epochs,cnn_patience,normalizer,model,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,parameters,gflops,inference_time_ms
size128_batch64,128,64,60,8,zscore,cnn,0.83875,0.8347545209197147,0.8358519554052609,0.8333433995647422,0.8410748971210947,0.83875,0.8379176240451558,2121638,0.093849088,1.6866186249990278
size128_batch32,128,32,60,8,zscore,cnn,0.82625,0.8263495877598052,0.8240007827500384,0.821631471881847,0.8338687088069,0.82625,0.826457111233074,2121638,0.093849088,1.743959249999989
size224_batch32,224,32,60,8,zscore,cnn,0.8,0.8000111720016535,0.7975202457692036,0.7943996555130668,0.8075903466556462,0.8,0.7995111079587197,6447014,0.287409664,5.143184999999448
