normalizer,model,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,parameters,gflops,inference_time_ms
minmax,knn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129024,,33.4330666664755
minmax,svm,0.5,0.4166666666666667,0.5,0.4444444444444444,0.4166666666666667,0.5,0.4444444444444444,18438,,0.041616666749177966
zscore,knn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129024,,7.0280500000687125
zscore,svm,0.3333333333333333,0.25,0.3333333333333333,0.27777777777777773,0.25,0.3333333333333333,0.27777777777777773,18438,,0.03651666672036905
