config_name,image_size,cnn_batch_size,cnn_epochs,cnn_patience,cnn_learning_rate,cnn_weight_decay,cnn_dropout,cnn_label_smoothing,cnn_lr_factor,cnn_lr_patience,normalizer,model,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,parameters,gflops,inference_time_ms
dropout05_wd1e4,128,64,60,8,0.001,0.0001,0.5,0.0,0.5,2,zscore,cnn,0.8775,0.8747947914271909,0.8740398046830445,0.8737341852547463,0.8772512205863796,0.8775,0.8766220036401982,2121638,0.093849088,2.2302943749991755
lr5e4_drop03_smooth05,128,64,60,10,0.0005,0.0001,0.3,0.05,0.5,2,zscore,cnn,0.87125,0.8692556116951837,0.8655693376062644,0.8668037723278287,0.8722625872209535,0.87125,0.8711467780962174,2121638,0.093849088,2.5678700000025856
lr3e4_drop03_smooth05,128,64,60,10,0.0003,0.0001,0.3,0.05,0.5,2,zscore,cnn,0.8575,0.8561823285161853,0.8524969336404715,0.8531873341320036,0.8595264093772021,0.8575,0.8572766549977727,2121638,0.093849088,3.321445125002356
dropout03_wd1e4,128,64,60,8,0.001,0.0001,0.3,0.0,0.5,2,zscore,cnn,0.85125,0.8474253463457081,0.8467824997306832,0.8463114635434145,0.8520355183768717,0.85125,0.8507955435844743,2121638,0.093849088,2.845124999998916
baseline,128,64,60,8,0.001,0.0,0.0,0.0,1.0,2,zscore,cnn,0.83875,0.8347545209197147,0.8358519554052609,0.8333433995647422,0.8410748971210947,0.83875,0.8379176240451558,2121638,0.093849088,1.6148293749984075
